Plot,Line #,Bearing (deg),Slope 1 (%),Slope dist. 1,Slope 2 (%),Slope dist. 2,Slope 3 (%),Slope dist. 3,Slope 4 (%),Slope dist. 4,Horizontal_dist,%slope1/100,squared,plus 1,square root,HD of segment 1,,%slope2/100,squared,plus 1,square root,HD of segment 2,,%slope3/100,squared,plus 1,square root,HD of segment 3,,%slope4/100,squared,plus 1,square root,HD of segment 4,,Horizontal distance: adj. line length
FR64,2,40,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR65,1,150,0,41,33,9,,,,,,0,0,1,1,41,,0.33,0.1089,1.1089,1.053043209,8.546657842,,0,0,1,1,0,,0,0,1,1,0,,49.54665784
FR65,2,40,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR66,1,140,9,11,5,39,,,,,,0.09,0.0081,1.0081,1.004041832,10.95571883,,0.05,0.0025,1.0025,1.00124922,38.95134122,,0,0,1,1,0,,0,0,1,1,0,,49.90706004
FR66,2,50,5,50,,,,,,,,0.05,0.0025,1.0025,1.00124922,49.93761694,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.93761694
FR67,1,220,10,5.2,0,20.8,33,9.4,9,14.6,,0.1,0.01,1.01,1.004987562,5.174193389,,0,0,1,1,20.8,,0.33,0.1089,1.1089,1.053043209,8.926509302,,0.09,0.0081,1.0081,1.004041832,14.54122681,,49.4419295
FR67,2,130,14,16,0,18,5,5.5,9,10.5,,0.14,0.0196,1.0196,1.009752445,15.84546795,,0,0,1,1,18,,0.05,0.0025,1.0025,1.00124922,5.493137864,,0.09,0.0081,1.0081,1.004041832,10.45773161,,49.79633742
FR68,1,20,15,50,,,,,,,,0.15,0.0225,1.0225,1.011187421,49.44681764,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.44681764
FR68,2,110,22,50,,,,,,,,0.22,0.0484,1.0484,1.023914059,48.83222334,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,48.83222334
FR69,1,190,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR69,2,280,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR70,1,160,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR70,2,250,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR71,1,20,35,50,,,,,,,,0.35,0.1225,1.1225,1.059481005,47.19291782,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,47.19291782
FR71,2,110,22,50,,,,,,,,0.22,0.0484,1.0484,1.023914059,48.83222334,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,48.83222334
FR72,1,0,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR72,2,90,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR73,1,70,50,2.5,45,47.5,,,,,,0.5,0.25,1.25,1.118033989,2.236067977,,0.45,0.2025,1.2025,1.09658561,43.3162715,,0,0,1,1,0,,0,0,1,1,0,,45.55233947
FR73,2,160,53,50,,,,,,,,0.53,0.2809,1.2809,1.131768528,44.178645,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,44.178645
FR74,1,230,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR74,2,140,7,50,,,,,,,,0.07,0.0049,1.0049,1.002447006,49.87794836,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.87794836
FR75,1,310,35,50,,,,,,,,0.35,0.1225,1.1225,1.059481005,47.19291782,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,47.19291782
FR75,2,220,22,50,,,,,,,,0.22,0.0484,1.0484,1.023914059,48.83222334,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,48.83222334
